question_id,score,status,passed,total,actionable_strategy,conciseness,correct_guidance,correctness_explanation,grade_appropriateness,misconception_diagnosis,reasoning_model,skill_reinforcement,specific_error,textual_evidence,textual_refutation,tone
quiz_302005,50%,❌,3,6,❌,❌,❌,❌,✅,❌,❌,❌,❌,✅,❌,✅
quiz_302005,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_1,67%,❌,4,6,❌,✅,❌,✅,✅,❌,❌,❌,❌,❌,❌,✅
quiz_302005_sibling_1,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302005_sibling_1,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_1,67%,❌,6,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,❌,✅
quiz_302005_sibling_2,83%,✅,5,6,❌,✅,❌,✅,✅,❌,❌,❌,❌,✅,❌,✅
quiz_302005_sibling_2,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
quiz_302005_sibling_2,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_2,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_3,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_3,83%,✅,5,6,❌,✅,❌,✅,✅,❌,❌,❌,❌,✅,❌,✅
quiz_302005_sibling_3,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_3,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_4,50%,❌,3,6,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,✅
quiz_302005_sibling_4,89%,✅,8,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_4,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302005_sibling_4,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006,67%,❌,4,6,❌,✅,❌,❌,✅,❌,❌,✅,❌,❌,❌,✅
quiz_302006,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006,100%,✅,9,9,✅,✅,✅,❌,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_1,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_1,50%,❌,3,6,❌,✅,❌,✅,❌,❌,❌,❌,❌,❌,❌,✅
quiz_302006_sibling_1,89%,✅,8,9,✅,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_1,67%,❌,6,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,❌,✅
quiz_302006_sibling_2,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_2,83%,✅,5,6,❌,✅,❌,✅,✅,❌,❌,❌,❌,✅,❌,✅
quiz_302006_sibling_2,78%,✅,7,9,❌,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_2,67%,❌,6,9,❌,✅,❌,❌,✅,❌,✅,❌,✅,❌,✅,✅
quiz_302006_sibling_3,78%,✅,7,9,❌,✅,✅,❌,✅,✅,✅,❌,✅,❌,❌,✅
