question_id,article_id,article_title,question,option_A,option_B,option_C,option_D,correct_answer,option_A_explanation,option_B_explanation,option_C_explanation,option_D_explanation,DOK,CCSS,grade,question_source,qc_score,qc_passed,content_hash,qc_hash,hash_match,parent_question_id,fix_timestamp,fix_strategy,fix_run_id
quiz_302005,article_101001,"Aladdin and the Wonderful Lamp, Part I","In the story, the magician tells Aladdin that finding the lamp will make him ""richer than any king in the world.""What does this phrase mean?",Aladdin will have more money than he can count,Aladdin will become the ruler of a kingdom,Aladdin will find gold coins in the cave,Aladdin will meet kings from other countries,A,You successfully made a good prediction by using clues about the magic lamp and treasure. The text supports this when it says the lamp “had amazing powers that would make any person very rich” and the magician promises it “will make you richer than any king in the world.” Remember to look for repeated hints and strong words like “will” to predict what will happen next.,"You may have thought “richer than any king” means Aladdin becomes a king, or you used what you know from other versions, but the text says the lamp “would make any person very rich” and “It will make you richer than any king,” which is about money, not ruling. So the correct answer is that Aladdin will have more money than he can count. Strategy: Reread and underline clue words like “rich/richer,” and choose the answer that matches exactly what the passage says—not what you expect from outside the story.","You may have brought in outside ideas (gold coins), but the text never mentions coins—Aladdin finds “beautiful gems,” and the lamp is said to make a person “very rich,” even “richer than any king.” That means the best prediction is about how much wealth he will have, not a specific kind of money, so “Aladdin will have more money than he can count” fits the text. Next time, stick to the exact words and look for clue phrases about the main idea, like “very rich.”","You may have focused on the word “king” and guessed he’d meet kings, but the text never says Aladdin will meet any kings; it says the lamp “had amazing powers that would make any person very rich” and the treasure “will make you richer than any king in the world.” That evidence points to the correct answer: Aladdin will have more money than he can count. Strategy: reread for clue words and choose the option that matches what the passage actually says, not ideas it doesn’t mention.",2,RL.3.4,3,original,0.91,True,c1129dde7395,c1129dde7395,True,,,,
quiz_302005_sibling_1,article_101001,"Aladdin and the Wonderful Lamp, Part I",What does the phrase 'the earth split open' describe in the story?,The ground cracked apart to reveal a hidden entrance,An earthquake happened on top of the mountain,The magician dug a deep hole in the dirt,Lightning struck the ground and made a crater,A,Correct! The text says 'The earth split open right at their feet' and then 'There in front of them lay a huge stone with a brass ring.' This phrase describes how the ground magically opened to show the entrance to the cave below. This is nonliteral language showing something magical happened.,"Incorrect. While 'split open' might make you think of an earthquake, the text shows this was caused by the magician's spell, not a natural earthquake. The phrase is describing a magical event, not a natural disaster.","Incorrect. The magician did not dig anything. The text says he 'spoke magical words' and then 'the earth split open,' which means magic caused the ground to open, not physical digging.","Incorrect. While the text mentions 'Thunder crashed and rumbled,' it does not say lightning struck the ground. The phrase 'earth split open' describes the magical opening of the ground to reveal the stone covering the cave entrance.",2,RL.3.4,3,extended,1.00,True,3ef7013bb399,3ef7013bb399,True,quiz_302005,,,
quiz_302005_sibling_2,article_101001,"Aladdin and the Wonderful Lamp, Part I","According to the first paragraph, what does it mean that Aladdin's mother had to 'work hard to earn money'?",She had to do difficult jobs to pay for their needs,She had to learn how to make clothes like a tailor,She had to ask strangers to give her family money,She had to travel far away to find a better job,A,"Correct! The text explains that after Aladdin's father died, 'Aladdin's mother had to work hard to earn money for food and shelter.' This phrase means she needed to do challenging work to get the money they needed to survive. The phrase 'work hard' is literal language meaning to put in great effort at a job.","Incorrect. The text does not say she became a tailor. It says his father 'worked as a tailor,' but we do not know what job the mother did. The phrase means she had to do difficult work, not specifically tailoring.","Incorrect. 'Work hard to earn money' means doing a job to get paid, not asking for money. Earning means getting money by working, which is different from asking people to give you money.","Incorrect. The text does not mention her traveling anywhere. The phrase 'work hard to earn money' describes putting effort into a job, not traveling to find one. She stayed and worked to support her family after her husband died.",2,RL.3.4,3,extended,1.00,True,f6f8e41cb047,f6f8e41cb047,True,quiz_302005,,,
quiz_302005_sibling_3,article_101001,"Aladdin and the Wonderful Lamp, Part I",What does the magician mean when he says the lamp 'had amazing powers that would make any person very rich'?,The lamp was made of expensive gold and jewels,The lamp contained magical abilities to create great wealth,The lamp could light up dark caves to find treasure,The lamp was very old and worth money to collectors,B,"Incorrect. The text says the lamp 'had amazing powers,' which tells us the lamp itself was magical, not that it was made of expensive materials. The phrase is about what the lamp can do, not what it is made from.","Correct! The text explains the magician wanted 'a special magic lamp' and 'People said this lamp had amazing powers that would make any person very rich.' This nonliteral phrase means the lamp had supernatural or magical abilities that could create wealth for whoever owned it, not just that it was valuable.","Incorrect. While lamps do provide light, the phrase 'amazing powers that would make any person very rich' is describing magical abilities to create wealth, not just the normal function of lighting dark places.","Incorrect. The text emphasizes 'amazing powers' which indicates magic, not just being valuable because of age. The phrase is about the lamp's supernatural abilities to make someone wealthy, not its value as an antique.",2,RL.3.4,3,extended,1.00,True,d2e63fce1806,d2e63fce1806,True,quiz_302005,,,
quiz_302005_sibling_4,article_101001,"Aladdin and the Wonderful Lamp, Part I","Based on paragraph 3, what does the phrase 'the ground looked empty and bare' tell us about the location?",Nothing was growing or living in that place,The magician had cleared away all the plants earlier,A fire had burned down all the trees recently,The mountain was covered with snow and ice,A,Correct! The text says 'they reached a spot where no flowers or plants could grow. The ground looked empty and bare.' This phrase uses descriptive language to show that the place was lifeless and nothing grew there. 'Empty and bare' means there was nothing living or growing on the ground.,"Incorrect. The text does not say the magician cleared plants away. The phrase 'empty and bare' describes the natural state of this location - that plants could not grow there at all, not that someone removed them.","Incorrect. There is no mention of a previous fire. The text explains 'no flowers or plants could grow' in this spot, meaning it was naturally barren, not that something destroyed plants that once grew there.","Incorrect. The text does not mention snow or ice. 'Empty and bare' means without plants or life, not covered with snow. The description is about the lack of vegetation, not about weather or snow cover.",2,RL.3.4,3,extended,1.00,True,5e5f46d7910b,5e5f46d7910b,True,quiz_302005,,,
quiz_302006,article_101001,"Aladdin and the Wonderful Lamp, Part I",What causes the magician to trap Aladdin in the cave?,Aladdin doesn't give him the lamp right away.,Aladdin won't to go into the cave.,Aladdin takes too many gems from the cave.,Aladdin breaks the magic ring on his finger.,A,"You successfully understood cause and effect by noticing that Aladdin doesn’t give the lamp right away. The text supports this when the magician says, “First, hand me the lamp,” and Aladdin replies, “I cannot reach it right now.” Remember to reread what happens right before and after an event to see why it happens.","You may have thought Aladdin refused to go into the cave, but the story says he “agreed to help” and “went down into the dark cave below.” The problem is that “the lamp was buried deep in Aladdin’s heavy bag,” so he couldn’t reach it and didn’t give it to the magician right away—that’s why the correct answer is “Aladdin doesn’t give him the lamp right away.” Next time, reread and find the exact sentence in the text that answers the question.","You may have focused on the gems, but the text shows the problem happens when Aladdin won’t give the lamp right away: “First, hand me the lamp… The magician grew very angry,” and then he seals the cave. So the correct answer is that Aladdin doesn’t hand over the lamp right away. Next time, reread the sentences just before the trouble to find the real cause.","You may have brought in an idea that isn’t in this part of the story (the ring breaking), but look at the text: “First, hand me the lamp…,” “I cannot reach it right now,” and “The magician grew very angry,” which shows he’s mad because Aladdin doesn’t give him the lamp right away. The passage never says the ring breaks; it only says the ring will keep him safe. To find the right answer, reread the lines around the event and look for cause-and-effect clue words (like “first,” “when”), and choose the option that matches what the text directly says.",2,RL.3.3,3,original,0.91,True,f753be099ee5,f753be099ee5,True,,,,
quiz_302006_sibling_1,article_101001,"Aladdin and the Wonderful Lamp, Part I","What shows that the magician's real goal is to get the lamp, not to help Aladdin?",He traps Aladdin when the boy cannot give him the lamp immediately,He gives Aladdin a magic ring to keep him safe in the cave,He takes Aladdin away from the city to climb a mountain,He tells Aladdin's mother that he wants to help the boy,A,"Correct! The text shows the magician 'only cared about getting the magic lamp' and when Aladdin could not hand it over right away, 'He spoke a magic spell, and the stone rolled back into place. Poor Aladdin was trapped.' This action reveals his true selfish motivation - he traps Aladdin rather than helping him, showing he never cared about the boy.","Incorrect. Giving Aladdin the ring might seem helpful, but the text explains the magician 'needed someone to help him' get the lamp. He protected Aladdin only so the boy could complete the task, not because he truly cared about helping him.","Incorrect. Taking Aladdin to the mountain was necessary to reach the lamp's location, not evidence of his real goal. The text shows his true motivation later when he traps Aladdin for not giving him the lamp fast enough.",Incorrect. What he told the mother was part of his deception. The text says 'the stranger was not really Aladdin's uncle at all' and he lied to gain trust. His words do not show his real goal - his actions of trapping Aladdin do.,2,RL.3.3,3,extended,1.00,True,10e5e17aaa50,10e5e17aaa50,True,quiz_302006,,,
quiz_302006_sibling_2,article_101001,"Aladdin and the Wonderful Lamp, Part I",How do the magician's actions in the beginning of the story lead to Aladdin getting trapped?,The magician lies about being family so Aladdin will trust and obey him,The magician teaches Aladdin how to use magic spells incorrectly,The magician forces Aladdin to steal gems from the cave,The magician tells Aladdin's mother to send her son away,A,"Correct! The text shows the magician 'was not really Aladdin's uncle at all' but pretended to be family. He 'wanted to find a person who would follow his directions without asking too many questions.' By lying about being family, he gained trust so Aladdin would obey him and go into the cave. This deception at the beginning leads directly to Aladdin being trapped when he cannot immediately give the lamp.","Incorrect. The magician does not teach Aladdin any magic. The text shows the magician performed magic himself and gave Aladdin a protective ring, but he never taught the boy how to use spells. Aladdin gets trapped because of the magician's impatience, not incorrect magic use.","Incorrect. The magician did not force Aladdin to take gems. The text says 'Once you have the lamp, you may take any treasures you want,' giving Aladdin permission. Aladdin chose to fill his bag with gems, which made it heavy, but the magician's impatience about getting the lamp caused the trapping.","Incorrect. The text shows the mother 'welcomed the man into their home' and 'believed his words,' but he did not tell her to send Aladdin away. He deceived both of them by pretending to be family, and this deception enabled everything that followed.",2,RL.3.3,3,extended,0.82,True,a072504d7668,a072504d7668,True,quiz_302006,,,
quiz_302006_sibling_3,article_101001,"Aladdin and the Wonderful Lamp, Part I","Based on the story, why does the magician choose Aladdin specifically instead of going into the cave himself?",He needs someone young who will follow orders without questioning,He is too old and weak to climb down into the cave,He believes only someone from Persia can touch the lamp,He wants to teach Aladdin how to become rich first,A,"Correct! The text explains that 'To find this lamp, the magician needed someone to help him. He wanted to find a person who would follow his directions without asking too many questions. He thought Aladdin was exactly the right person for this job.' The magician chose Aladdin because he could manipulate a poor boy into obeying him completely.","Incorrect. The text never suggests the magician is too weak. In fact, he climbs the steep mountain with Aladdin. The text clearly states he needed someone 'who would follow his directions without asking too many questions,' not someone to do physical work he could not do.","Incorrect. The text does not mention any rule about only people from Persia touching the lamp. The magician came 'from far away in North Africa' specifically to find the lamp, so location is not the reason he needed help.",Incorrect. The magician's promise to help Aladdin become a merchant was a lie to gain trust. The text says 'the stranger was not really Aladdin's uncle at all' and he only wanted 'to get the lamp.' Teaching Aladdin was never his real goal.,2,RL.3.3,3,extended,1.00,True,4ec2311456b1,4ec2311456b1,True,quiz_302006,,,
quiz_302006_sibling_4,article_101001,"Aladdin and the Wonderful Lamp, Part I",What evidence from the story shows that the magician never intended to help Aladdin become wealthy?,He becomes angry and traps Aladdin instead of helping him out of the cave,He travels from North Africa to Persia searching for the lamp,He brings Aladdin to a remote mountain instead of the city marketplace,He gives Aladdin a special protective ring before entering the cave,A,"Correct! The text states 'The magician grew very angry. He only cared about getting the magic lamp.' When Aladdin needed help climbing out, the magician demanded the lamp first. When Aladdin could not give it immediately, the magician 'spoke a magic spell, and the stone rolled back into place,' trapping him. A person who truly wanted to help Aladdin become wealthy would have helped him out of the cave, but instead the magician abandoned him when he did not get what he wanted.","Incorrect. His long journey shows his determination to find the lamp for himself, but does not directly prove he would not help Aladdin. The clearest evidence of his true intentions comes from his actions when Aladdin needs help - he traps the boy instead of assisting him.",Incorrect. Going to the mountain was necessary because that is where the lamp was hidden. This does not prove he would not help Aladdin - he needed to go there to get the lamp. His trapping of Aladdin at the end provides the strongest evidence of his selfish intentions.,"Incorrect. Giving Aladdin the ring might seem like he was helping, but the text explains he needed Aladdin safe to retrieve the lamp. The ring served the magician's purpose. The real evidence of his selfishness is when he traps Aladdin rather than helping him out of the cave.",2,RL.3.3,3,extended,0.82,True,9b033997dbc2,9b033997dbc2,True,quiz_302006,,,
