course,title,article_id
Core Knowledge Grade 3/3,"Aladdin and the Wonderful Lamp, Part I",article_101001
Core Knowledge Grade 3/3,"Aladdin and the Wonderful Lamp, Part II",article_101002
Core Knowledge Grade 3/3,"Aladdin and the Wonderful Lamp, Part III",article_101003
Core Knowledge Grade 3/3,"Alice’s Adventures in Wonderland, Part I",article_101004
Core Knowledge Grade 3/3,"Alice’s Adventures in Wonderland, Part II",article_101005
Core Knowledge Grade 3/3,"Alice’s Adventures in Wonderland, Part III",article_101006
Core Knowledge Grade 3/3,"Alice’s Adventures in Wonderland, Part IV",article_101007
Core Knowledge Grade 3/3,"The Open Road, Part I",article_101008
Core Knowledge Grade 3/3,"The Open Road, Part II",article_101009
Core Knowledge Grade 3/3,"The Open Road, Part III",article_101010
Core Knowledge Grade 3/3,"The Open Road, Part IV",article_101011
Core Knowledge Grade 3/3,Classifying Living Things,article_101012
Core Knowledge Grade 3/3,Warm-Blooded and Cold-Blooded Animals,article_101013
Core Knowledge Grade 3/3,Vertebrate or Invertebrate?,article_101014
Core Knowledge Grade 3/3,Fish,article_101015
Core Knowledge Grade 3/3,Amphibians,article_101016
Core Knowledge Grade 3/3,Reptiles,article_101017
Core Knowledge Grade 3/3,Birds,article_101018
Core Knowledge Grade 3/3,Mammals,article_101019
Core Knowledge Grade 3/3,Scientists Who Classify Animals,article_101020
Core Knowledge Grade 3/3,Jane Goodall,article_101021
Core Knowledge Grade 3/3,Deep-Sea Fish,article_101022
Core Knowledge Grade 3/3,Tree Frogs,article_101023
Core Knowledge Grade 3/3,The Komodo Dragon,article_101024
Core Knowledge Grade 3/3,Beavers,article_101025
Core Knowledge Grade 3/3,Hummingbirds,article_101026
Core Knowledge Grade 3/3,The Skeletal System,article_101027
Core Knowledge Grade 3/3,All About Bones,article_101028
Core Knowledge Grade 3/3,The Muscular System,article_101029
Core Knowledge Grade 3/3,Joints and Muscles,article_101030
Core Knowledge Grade 3/3,The Nervous System,article_101031
Core Knowledge Grade 3/3,The Spinal Cord and Brain,article_101032
Core Knowledge Grade 3/3,Eyes and Vision,article_101033
Core Knowledge Grade 3/3,"Vision Problems, Vision Solutions",article_101034
Core Knowledge Grade 3/3,Ears and Hearing,article_101035
Core Knowledge Grade 3/3,"Overcoming Disabilities, Part I",article_101036
Core Knowledge Grade 3/3,"Overcoming Disabilities, Part II",article_101037
Core Knowledge Grade 3/3,"Rome, Then and Now",article_101038
Core Knowledge Grade 3/3,The Legend of Romulus and Remus,article_101039
Core Knowledge Grade 3/3,"The Roman Gods and Goddesses, Part I",article_101040
Core Knowledge Grade 3/3,"The Roman Gods and Goddesses, Part II",article_101041
Core Knowledge Grade 3/3,"Cupid and Psyche, Part I",article_101042
Core Knowledge Grade 3/3,"Cupid and Psyche, Part II",article_101043
Core Knowledge Grade 3/3,The Sword of Damocles,article_101044
Core Knowledge Grade 3/3,The Roman Republic,article_101045
Core Knowledge Grade 3/3,Hannibal Crosses the Alps,article_101046
Core Knowledge Grade 3/3,"Julius Caesar: Great Fighter, Great Writer",article_101047
Core Knowledge Grade 3/3,Julius Caesar: Crossing the Rubicon,article_101048
Core Knowledge Grade 3/3,After Caesar: Augustus and the Roman Empire,article_101049
Core Knowledge Grade 3/3,Androcles and the Lion,article_101050
Core Knowledge Grade 3/3,The Rise of Christianity,article_101051
Core Knowledge Grade 3/3,The Second Rome: From Constantine to Justinian,article_101052
Core Knowledge Grade 3/3,Pompeii,article_101053
Core Knowledge Grade 3/3,How Horatius Held the Bridge,article_101054
Core Knowledge Grade 3/3,What Is Light?,article_101055
Core Knowledge Grade 3/3,How Are Shadows Made?,article_101056
Core Knowledge Grade 3/3,Mirrors and Reflections,article_101057
Core Knowledge Grade 3/3,Refraction and Lenses,article_101058
Core Knowledge Grade 3/3,Color and Light,article_101059
Core Knowledge Grade 3/3,What Is Sound?,article_101060
Core Knowledge Grade 3/3,Characteristics of Sound,article_101061
Core Knowledge Grade 3/3,The Human Voice,article_101062
Core Knowledge Grade 3/3,Light and Photography,article_101063
Core Knowledge Grade 3/3,"Alexander Graham Bell, Part I",article_101064
Core Knowledge Grade 3/3,"Alexander Graham Bell, Part II",article_101065
Core Knowledge Grade 3/3,Thomas Edison: The Wizard of Menlo Park,article_101066
Core Knowledge Grade 3/3,Sif’s Golden Hair,article_101067
Core Knowledge Grade 3/3,Loki and the Dwarves,article_101068
Core Knowledge Grade 3/3,Stolen Thunder,article_101069
Core Knowledge Grade 3/3,A Plan Is Made,article_101070
Core Knowledge Grade 3/3,The Wedding Feast,article_101071
Core Knowledge Grade 3/3,"Balder, the Beautiful",article_101072
Core Knowledge Grade 3/3,The Death of Balder,article_101073
Core Knowledge Grade 3/3,Loki’s Punishment,article_101074
Core Knowledge Grade 3/3,"The Sun, Earth, and Our Solar System",article_101075
Core Knowledge Grade 3/3,The Moon,article_101076
Core Knowledge Grade 3/3,"The Planets Closest to the Sun: Mercury, Venus, Earth, and Mars",article_101077
Core Knowledge Grade 3/3,"The Outer Planets: Jupiter, Saturn, Uranus, and Neptune",article_101078
Core Knowledge Grade 3/3,"Asteroids, Comets, and Meteors",article_101079
Core Knowledge Grade 3/3,Galaxies and Stars,article_101080
Core Knowledge Grade 3/3,Constellations,article_101081
Core Knowledge Grade 3/3,Exploring Space,article_101082
Core Knowledge Grade 3/3,A Walk on the Moon,article_101083
Core Knowledge Grade 3/3,What’s it Like in Space?,article_101084
Core Knowledge Grade 3/3,The Space Shuttle,article_101085
Core Knowledge Grade 3/3,The International Space Station,article_101086
Core Knowledge Grade 3/3,Dr. Mae Jemison,article_101087
Core Knowledge Grade 3/3,Nicolaus Copernicus,article_101088
Core Knowledge Grade 3/3,The Big Bang,article_101089
Core Knowledge Grade 3/3,"Etu, the Hunter",article_101090
Core Knowledge Grade 3/3,"Adoette and Awan, the Bird Chasers",article_101091
Core Knowledge Grade 3/3,"Akando and Aponi, the Gatherers",article_101092
Core Knowledge Grade 3/3,"Alemeda, the Basket Weaver",article_101093
Core Knowledge Grade 3/3,"Alo, the Spirit Giver",article_101094
Core Knowledge Grade 3/3,"Meda and Flo, the Forest Children",article_101095
Core Knowledge Grade 3/3,"Yutu, the Dog Trainer",article_101096
Core Knowledge Grade 3/3,"Salali, Dustu, and the Festival of Hope",article_101097
Core Knowledge Grade 3/3,The Hunting of the Great Bear: An Iroquois Tale,article_101098
Core Knowledge Grade 3/3,Crow Brings the Daylight: An Inuit Myth,article_101099
Core Knowledge Grade 3/3,The Lure of Spices,article_101100
Core Knowledge Grade 3/3,Second Sons,article_101101
Core Knowledge Grade 3/3,Toscanelli’s Map,article_101102
Core Knowledge Grade 3/3,Navigation in the Age of Exploration,article_101103
Core Knowledge Grade 3/3,El Castillo de San Marcos,article_101104
Core Knowledge Grade 3/3,Coronado Reports to the King,article_101105
Core Knowledge Grade 3/3,John Cabot,article_101106
Core Knowledge Grade 3/3,Henry Hudson,article_101107
Core Knowledge Grade 3/3,The Fur Trade and Samuel de Champlain,article_101108
Core Knowledge Grade 3/3,A History of People in North America,article_101109
Core Knowledge Grade 3/3,Caribbean Words,article_101110
Core Knowledge Grade 3/3,The First English Colony,article_101111
Core Knowledge Grade 3/3,"Jamestown, Part I: A New Life",article_101112
Core Knowledge Grade 3/3,"Jamestown, Part II: Hunting the Powhatan Way",article_101113
Core Knowledge Grade 3/3,Plantation Life,article_101114
Core Knowledge Grade 3/3,Early Days in Georgia,article_101115
Core Knowledge Grade 3/3,"The Pilgrims, Part I: Arrival",article_101116
Core Knowledge Grade 3/3,"The Pilgrims, Part II: Thanksgiving Celebration",article_101117
Core Knowledge Grade 3/3,Puritan Life,article_101118
Core Knowledge Grade 3/3,"Life on a Farm in the Middle Atlantic Colonies, Part I",article_101119
Core Knowledge Grade 3/3,"Life on a Farm in the Middle Atlantic Colonies, Part II",article_101120
Core Knowledge Grade 3/3,The Quakers and the Lenni Lenape,article_101121
Core Knowledge Grade 3/3,"Matthew, the Apprentice",article_101122
Core Knowledge Grade 3/3,Living Things and Their Habitats,article_101123
Core Knowledge Grade 3/3,Food Chains,article_101124
Core Knowledge Grade 3/3,"Producers, Consumers, and Decomposers",article_101125
Core Knowledge Grade 3/3,The Balance of Nature,article_101126
Core Knowledge Grade 3/3,Natural Changes to the Environment,article_101127
Core Knowledge Grade 3/3,Human Changes to the Environment,article_101128
Core Knowledge Grade 3/3,Environmental Damage Caused by Humans,article_101129
Core Knowledge Grade 3/3,Protecting the Environment,article_101130
Core Knowledge Grade 3/3,John Muir,article_102001
Core Knowledge Grade 4/4,"February 12, 1963",article_102002
Core Knowledge Grade 4/4,second daughter's second day on earth,article_102003
Core Knowledge Grade 4/4,the ghosts of nelsonville house,article_102004
Core Knowledge Grade 4/4,it'll be scary sometimes,article_102005
Core Knowledge Grade 4/4,"greenville, south carolina, 1963",article_102006
Core Knowledge Grade 4/4,the garden,article_102007
Core Knowledge Grade 4/4,at the end of the day,article_102008
Core Knowledge Grade 4/4,south carolina at war,article_102009
Core Knowledge Grade 4/4,leaving greenville,article_102010
Core Knowledge Grade 4/4,composition notebook,article_102011
Core Knowledge Grade 4/4,first grade,article_102012
Core Knowledge Grade 4/4,what everybody knows now,article_102013
Core Knowledge Grade 4/4,Welcome to the Middle Ages,article_102014
Core Knowledge Grade 4/4,To the Manor Born,article_102015
Core Knowledge Grade 4/4,Gloomy Castles and Jousting Knights,article_102016
Core Knowledge Grade 4/4,"Merchants, Markets, and Mud: Towns in the Middle Ages",article_102017
Core Knowledge Grade 4/4,The Power of the Church,article_102018
Core Knowledge Grade 4/4,1066: The Battle that Changed History,article_102019
Core Knowledge Grade 4/4,Henry II and Law and Order,article_102020
Core Knowledge Grade 4/4,The Wayward King: King John and Magna Carta,article_102021
Core Knowledge Grade 4/4,A Changing World,article_102022
Core Knowledge Grade 4/4,Introduction,article_102023
Core Knowledge Grade 4/4,The Coming of Merlin,article_102024
Core Knowledge Grade 4/4,The Birth of Arthur,article_102025
Core Knowledge Grade 4/4,The Sword in the Stone,article_102026
Core Knowledge Grade 4/4,The Sword in the Lake,article_102027
Core Knowledge Grade 4/4,Sir Balin and the Hallows,article_102028
Core Knowledge Grade 4/4,The Marriage of Arthur and the Founding of the Round Table,article_102029
Core Knowledge Grade 4/4,Sir Lancelot,article_102030
Core Knowledge Grade 4/4,Sir Tristram,article_102031
Core Knowledge Grade 4/4,The End of Merlin,article_102032
Core Knowledge Grade 4/4,The Birth of Galahad,article_102033
Core Knowledge Grade 4/4,The Coming of Galahad to Court,article_102034
Core Knowledge Grade 4/4,How the Quest Began,article_102035
